Week,Date,Block,Plot,Position,Plant,Chemotype,Plottype,M_fuscoviride_apterous,M_fuscoviride_alate,M_tanacetaria_apterous,M_tanacetaria_alate,U_tanaceti_apterous,U_tanaceti_alate,U_tanaceti_WN,Ant_MF,Antnest,Ant_total,Counted_by,Notes
1,05.05.2021,3,4,1,22_12_B,Aacet,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,4,2,26_45_B,ABThu,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,4,3,8_37_B,Keto,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,4,4,14_32_B,Myrox,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,4,5,23_40_B,BThu,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,5,1,17_57_A,ABThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,3,5,2,26_45_A,ABThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,3,5,3,16_175_A,ABThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,3,5,4,9_28_A,ABThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,3,5,5,29_165_A,ABThu,0,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,1,26_165_B,Myrox,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,2,6_39_B,Keto,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,3,16_40_B,Aacet,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,4,30_34_B,BThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,5,29_165_B,ABThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,7,1,26_165_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,3,7,2,18_46_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,3,7,3,26_153_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,3,7,4,14_32_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,3,7,5,22_68_A,Myrox,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,8,1,17_57_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,8,2,18_46_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,8,3,14_45_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,8,4,7_12_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,8,5,18_47_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,9,1,6_10_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,9,2,17_56_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,9,3,14_45_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,9,4,30_34_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,9,5,23_40_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,10,1,6_10_B,BThu,1,,,,,,,,,,,Liv,
1,05.05.2021,3,10,2,23_42_B,Aacet,1,,,,,,,,,,,Liv,
1,05.05.2021,3,10,3,16_175_B,ABThu,1,,,,,,,,,,,Liv,
1,05.05.2021,3,10,4,9_76_B,Keto,1,,,,,,,,,,,Liv,
1,05.05.2021,3,10,5,22_68_B,Myrox,1,,,,,,,,,,,Liv,
1,05.05.2021,4,1,1,8_17_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,4,1,2,29_23_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,4,1,3,30_11_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,4,1,4,6_26_A,Keto,0,,,,,,,,,,1,Liv,
1,05.05.2021,4,1,5,9_64_A,Keto,0,,,5,,,,,,,1,Liv,
1,06.05.2021,4,2,1,8_17_B,Keto,1,,,,,,,,,,3,Dominik,
1,06.05.2021,4,2,2,30_21_B,BThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,4,2,3,26_173_B,ABThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,4,2,4,24_22_B,Myrox,1,,,,,,,,,,1,Dominik,
1,06.05.2021,4,2,5,7_16_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,3,1,18_45_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,3,2,22_22_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,3,3,14_2_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,3,4,24_22_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,3,5,7_52_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,4,1,17_66_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,4,2,9_44_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,4,3,7_52_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,4,4,16_43_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,4,5,9_64_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,5,1,17_66_A,BThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,5,2,30_21_A,BThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,5,3,8_23_A,BThu,0,,,,,,,,,,3,Dominik,
1,05.05.2021,4,5,4,16_2_A,BThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,5,5,24_19_A,BThu,0,,,,,,,,,,,Dominik,
1,06.05.2021,4,6,1,29_153_B,ABThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,4,6,2,22_19_B,Aacet,1,,,,,,,,,,,Tobias,
1,06.05.2021,4,6,3,14_2_B,Myrox,1,,,,,,,,,,,Tobias,
1,06.05.2021,4,6,4,6_26_B,Keto,1,,,,,,,,,,,Tobias,
1,06.05.2021,4,6,5,24_19_B,BThu,1,,,,,,,,,,,Tobias,
1,05.05.2021,4,7,1,29_153_A,ABThu,0,,,1,,,,,,,,Liv,
1,05.05.2021,4,7,2,9_44_A,ABThu,0,,,,,,,,,,,Liv,
1,05.05.2021,4,7,3,26_173_A,ABThu,0,,,,,,,,,,,Liv,
1,05.05.2021,4,7,4,17_64_A,ABThu,0,,,,,,,,,,,Liv,
1,05.05.2021,4,7,5,26_172_A,ABThu,0,,,,,,,,,,,Liv,
1,06.05.2021,4,8,1,18_45_B,Myrox,1,,,,,,,,,,,Liv,
1,06.05.2021,4,8,2,29_23_B,Keto,1,,,,,,,,,,,Liv,
1,06.05.2021,4,8,3,8_23_B,BThu,1,,,,,,,,,,1,Liv,
1,06.05.2021,4,8,4,17_64_B,ABThu,1,,,,,,,,,,,Liv,
1,06.05.2021,4,8,5,22_100_B,Aacet,1,,,,,,,,,,,Liv,
1,05.05.2021,4,9,1,23_37_A,Aacet,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,9,2,22_19_A,Aacet,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,9,3,7_16_A,Aacet,0,,,,,,,,,,1,Dominik,
1,05.05.2021,4,9,4,16_43_A,Aacet,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,9,5,22_100_A,Aacet,0,,,,,,,,,,,Dominik,
1,06.05.2021,4,10,1,23_37_B,Aacet,1,,,,,,,,,,,Liv,
1,06.05.2021,4,10,2,22_22_B,Myrox,1,,,,,,,,,,2,Liv,
1,06.05.2021,4,10,3,30_11_B,Keto,1,,,,,,,,,,2,Liv,
1,06.05.2021,4,10,4,16_2_B,BThu,1,,,,,,,,,,,Liv,
1,06.05.2021,4,10,5,26_172_B,ABThu,1,,,,,,,,,,,Liv,
1,05.05.2021,5,1,1,26_193_A,ABThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,5,1,2,29_155_A,ABThu,0,,,,,,,,,,2,Tobias,
1,05.05.2021,5,1,3,17_71_A,ABThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,5,1,4,9_32_A,ABThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,5,1,5,29_157_A,ABThu,0,,,,,,,,,,2,Tobias,
1,06.05.2021,5,2,1,23_44_B,Aacet,1,,,,,,,,,,,Liv,
1,06.05.2021,5,2,2,29_155_B,ABThu,1,,,,,,,,,,,Liv,
1,06.05.2021,5,2,3,7_33_B,Myrox,1,,,,,,,,,,,Liv,
1,06.05.2021,5,2,4,24_25_B,BThu,1,,,,,,,,,,,Liv,
1,06.05.2021,5,2,5,9_66_B,Keto,1,,,,,,,,,,,Liv,
1,06.05.2021,5,3,1,23_44_A,Aacet,0,,,,,,,,,,1,Liv,
1,06.05.2021,5,3,2,7_19_A,Aacet,0,,,,,,,,,,,Liv,
1,06.05.2021,5,3,3,22_28_A,Aacet,0,,,,,,,,,,1,Liv,
1,06.05.2021,5,3,4,7_21_A,Aacet,0,,,,,,,,,,,Liv,
1,06.05.2021,5,3,5,16_44_A,Aacet,0,,,1,,,,,,,,Liv,
1,05.05.2021,5,4,1,30_35_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,4,2,30_51_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,4,3,17_71_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,4,4,18_60_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,4,5,16_44_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,5,1,26_6_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,5,5,2,30_51_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,5,5,3,6_41_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,5,5,4,8_36_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,5,5,5,9_66_A,Keto,0,,,2,,,,,,,,Liv,
1,05.05.2021,5,6,1,26_6_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,6,2,7_19_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,6,3,6_16_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,6,4,9_32_B,ABThu,1,,,,,,,,,,1,Dominik,
1,05.05.2021,5,6,5,24_26_B,Myrox,1,,,,,,,,,,,Dominik,
1,06.05.2021,5,7,1,30_35_A,BThu,0,,,,,,,,,,,Liv,
1,06.05.2021,5,7,2,23_6_A,BThu,0,,,,,,,,,,,Liv,
1,06.05.2021,5,7,3,6_16_A,BThu,0,,,,,,,,,,,Liv,
1,06.05.2021,5,7,4,24_25_A,BThu,0,,,,,,,,,,,Liv,
1,06.05.2021,5,7,5,16_13_A,BThu,0,,,,,,,,,,,Liv,
1,06.05.2021,5,8,1,26_193_B,ABThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,5,8,2,24_11_B,Myrox,1,,,,,,,,,,,Dominik,
1,06.05.2021,5,8,3,22_28_B,Aacet,1,,,1,,,,,,,,Dominik,
1,06.05.2021,5,8,4,8_36_B,Keto,1,,,,,,,,,,,Dominik,
1,06.05.2021,5,8,5,16_13_B,BThu,1,,,,,,,,,,1,Dominik,
1,05.05.2021,5,9,1,18_3_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,5,9,2,24_11_A,Myrox,0,,,4,,,,,,,,Liv,
1,05.05.2021,5,9,3,7_33_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,5,9,4,18_60_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,5,9,5,24_26_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,5,10,1,18_3_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,10,2,23_6_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,10,3,6_41_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,10,4,7_21_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,5,10,5,29_157_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,6,1,1,9_35_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,6,1,2,24_27_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,6,1,3,8_40_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,6,1,4,6_13_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,6,1,5,23_46_B,Aacet,1,,,,,,,,,,,Dominik,
1,06.05.2021,6,2,1,23_46_A,Aacet,0,,,,,,,,,,,Tobias,
1,06.05.2021,6,2,2,7_22_A,Aacet,0,,,,,,,,,,,Tobias,
