ID_unique,Plottype,Plant,Block,Plot,Position,Motherplant,Chemotype,Comp_ID,Comp_name,Peak_area,Percent,Norm_weight
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,13,artemisia_alcohol,6286477,6.25207645,598712.0952
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,10,artemisia_ketone,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,22,artemisyl_acetate_b,61198128,60.86324261,5828393.143
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,28,borneol,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,3,camphene,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,21,camphor,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,38,carvyl_acetate_Z,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,41,caryophyllene_b,715924,0.712006356,68183.2381
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,25,chrysanthenol,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,17,chrysanthenone,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,35,chrysanthenyl_acetate_E,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,31,chrysanthenyl_acetate_Z,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,9,cineole_1_8,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,8,cymene_p,599599,0.596317904,57104.66667
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,39,eugenol,682907,0.67917003,65038.7619
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,24,lavandulol,301646,0.299995348,28728.19048
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,6,myroxide_Z,12406106,12.33821792,1181533.905
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,20,neothujol,520660,0.51781087,49586.66667
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,2,pinene_a,64517,0.064163953,6144.47619
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,5,pinene_b,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,23,pinocarvone,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,32,RI_1241_unknown,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,36,RI_1292_unknown,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,4,sabinene,54629,0.054330062,5202.761905
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,37,sabinene_acetate_E,0,0,0
