Block,Plot,Position,Plant,Chemotype,highest_shoot_cm,number_shoots,no_shoots_with_flowerbuds,no_shoots_with_flowerbuds_Rsa,no_leaves,Date,Person
3,1,4,07_012_A,Aacet,81,4,1,1,125,22.06.2021,Steffi
3,1,5,22_024_A,Aacet,66,6,0,0,89,22.06.2021,Steffi
3,2,1,29_009_B,Keto,100,5,12,7,189,22.06.2021,Steffi
3,2,2,17_056_B,BThu,101,6,4,4,318,22.06.2021,Steffi
3,2,3,26_153_B,Myrox,76,3,0,0,214,22.06.2021,Steffi
3,2,4,09_028_B,ABThu,81,4,19,7,162,22.06.2021,Steffi
3,2,5,22_024_B,Aacet,67.5,5,0,0,94,22.06.2021,Steffi
3,3,1,29_009_A,Keto,81,8,7,2,92,22.06.2021,Steffi
3,3,2,06_039_A,Keto,91,4,7,7,248,22.06.2021,Steffi
3,3,3,08_037_A,Keto,79,6,8,2,134,22.06.2021,Steffi
3,3,4,09_076_A,Keto,71,8,12,12,151,22.06.2021,Steffi
3,3,5,18_047_A,Keto,56.5,6,0,0,137,22.06.2021,Steffi
3,4,1,22_012_B,Aacet,43.5,3,0,0,28,22.06.2021,Tanja
3,4,2,26_045_B,ABThu,69.5,6,0,0,98,22.06.2021,Tanja
3,4,3,08_037_B,Keto,77,9,1,1,134,22.06.2021,Tanja
3,4,4,14_032_B,Myrox,92,6,3,3,73,22.06.2021,Tanja
3,4,5,23_040_B,BThu,71,5,0,0,90,22.06.2021,Tanja
3,5,1,17_057_A,ABThu,63,10,0,0,95,22.06.2021,Tanja
3,5,2,26_045_A,ABThu,68,5,0,0,84,22.06.2021,Tanja
3,5,3,16_175_A,ABThu,78,4,10,10,83,22.06.2021,Tanja
3,5,4,09_028_A,ABThu,66,6,7,7,99,22.06.2021,Tanja
3,5,5,29_165_A,ABThu,72.5,4,5,3,81,22.06.2021,Tanja
3,6,1,26_165_B,Myrox,69,6,0,0,98,22.06.2021,Tanja
3,6,2,06_039_B,Keto,64,6,2,2,81,22.06.2021,Tanja
3,6,3,16_040_B,Aacet,81.5,5,5,5,89,22.06.2021,Tanja
3,6,4,30_034_B,BThu,41.5,2,4,2,35,22.06.2021,Tanja
3,6,5,29_165_B,ABThu,61,5,7,2,81,22.06.2021,Tanja
3,7,1,26_165_A,Myrox,68,1,0,0,103,22.06.2021,Steffi
3,7,2,18_046_A,Myrox,49,7,0,0,89,22.06.2021,Steffi
3,7,3,26_153_A,Myrox,61,5,0,0,104,22.06.2021,Steffi
3,7,4,14_032_A,Myrox,95.5,5,0,0,62,22.06.2021,Steffi
3,7,5,22_068_A,Myrox,103,2,3,3,214,22.06.2021,Steffi
3,8,1,17_057_B,ABThu,39,2,0,0,22,22.06.2021,Steffi
3,8,2,18_046_B,Myrox,66,7,0,0,80,22.06.2021,Steffi
3,8,3,14_045_B,BThu,76.5,6,10,4,90,22.06.2021,Steffi
3,8,4,07_012_B,Aacet,78,6,6,6,77,22.06.2021,Steffi
3,8,5,18_047_B,Keto,38,7,0,0,70,22.06.2021,Steffi
3,9,1,06_010_A,BThu,73,6,1,1,186,22.06.2021,Steffi
3,9,2,17_056_A,BThu,56,7,1,1,141,22.06.2021,Steffi
3,9,3,14_045_A,BThu,67,5,6,6,66,22.06.2021,Steffi
3,9,4,30_034_A,BThu,47.5,2,3,2,24,22.06.2021,Steffi
3,9,5,23_040_A,BThu,59,3,0,0,85,22.06.2021,Steffi
3,10,1,06_010_B,BThu,76,8,0,0,173,22.06.2021,Steffi
3,10,2,23_042_B,Aacet,80,6,6,3,77,22.06.2021,Steffi
3,10,3,16_175_B,ABThu,106,14,13,14,126,22.06.2021,Steffi
3,10,4,09_076_B,Keto,56,5,2,2,57,22.06.2021,Steffi
3,10,5,22_068_B,Myrox,68.5,7,0,0,86,22.06.2021,Steffi
4,1,1,08_017_A,Keto,94,5,0,0,89,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,1,2,29_023_A,Keto,85,5,3,3,59,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,1,3,30_011_A,Keto,91,3,3,2,44,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,1,4,06_026_A,Keto,94,4,4,4,109,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,1,5,09_064_A,Keto,95,4,0,0,114,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,2,1,08_017_B,Keto,74,5,0,0,52,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,2,2,30_021_B,BThu,81,2,0,0,58,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,2,3,26_173_B,ABThu,65,3,0,0,43,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,2,4,24_022_B,Myrox,59,4,0,0,56,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,2,5,07_016_B,Aacet,69,4,0,0,43,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,3,1,18_045_A,Myrox,63,5,1,1,118,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,3,2,22_022_A,Myrox,67,2,0,0,59,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,3,3,14_002_A,Myrox,76,3,0,0,97,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,3,4,24_022_A,Myrox,57,5,0,0,89,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,3,5,07_052_A,Myrox,71,3,4,2,73,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,4,1,17_066_B,BThu,46.6,4,0,0,31,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,4,2,09_044_B,ABThu,74.4,5,0,0,117,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,4,3,07_052_B,Myrox,72.2,6,0,0,55,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,4,4,16_043_B,Aacet,80.2,1,4,4,84,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,4,5,09_064_B,Keto,91.4,5,1,1,97,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,5,1,17_066_A,BThu,59.6,11,0,0,74,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,5,2,30_021_A,BThu,95.2,2,0,0,76,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,5,3,08_023_A,BThu,75,2,4,4,101,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,5,4,16_002_A,BThu,83.6,3,0,20,117,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
4,5,5,24_019_A,BThu,81.4,5,20,2,86,21.06.2021,"No. Leaves (Paul), Rest (Tobias)"
